Date,SCDATA.InIcuCum,SCDATA.InIcuCurr
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,0,0
2020-3-9,0,0
2020-3-10,0,0
2020-3-11,0,0
2020-3-12,0,0
2020-3-13,0,0
2020-3-14,0,0
2020-3-15,0,0
2020-3-16,0,0
2020-3-17,0,0
2020-3-18,0,0
2020-3-19,0,0
2020-3-20,0,0
2020-3-21,0,0
2020-3-22,0,0
2020-3-23,0,0
2020-3-24,0,0
2020-3-25,0,0
2020-3-26,0,0
2020-3-27,0,0
2020-3-28,0,0
2020-3-29,0,0
2020-3-30,0,0
2020-3-31,0,0
2020-4-1,0,0
2020-4-2,0,0
2020-4-3,0,0
2020-4-4,0,0
2020-4-5,0,0
2020-4-6,0,0
2020-4-7,0,0
2020-4-8,0,0
2020-4-9,0,0
2020-4-10,0,0
2020-4-11,0,0
2020-4-12,0,0
2020-4-13,0,0
2020-4-14,0,0
2020-4-15,0,0
2020-4-16,0,0
2020-4-17,0,0
2020-4-18,0,0
2020-4-19,0,0
2020-4-20,0,0
2020-4-21,0,0
2020-4-22,0,0
2020-4-23,0,0
2020-4-24,0,0
2020-4-25,0,0
2020-4-26,0,0
2020-4-27,0,0
2020-4-28,0,0
2020-4-29,0,0
2020-4-30,0,0
2020-5-1,0,0
2020-5-2,0,0
2020-5-3,0,0
2020-5-4,0,0
2020-5-5,0,0
2020-5-6,0,0
2020-5-7,0,0
2020-5-8,0,0
2020-5-9,0,0
2020-5-10,0,0
2020-5-11,0,0
2020-5-12,0,0
2020-5-13,0,0
2020-5-14,0,0
2020-5-15,0,0
2020-5-16,0,0
2020-5-17,0,0
2020-5-18,0,0
2020-5-19,0,0
2020-5-20,0,0
2020-5-21,0,0
2020-5-22,0,0
2020-5-23,0,0
2020-5-24,0,0
2020-5-25,0,0
2020-5-26,0,0
2020-5-27,0,0
2020-5-28,0,0
2020-5-29,0,0
2020-5-30,0,0
2020-5-31,0,0
